"url","searchString","ranking","searchPageUrl","searchPageLoadedUrl","isAdvertisement","name","description","price","categoryName","address","neighborhood","street","street_name__001","street_name__002","city","postalCode","state","countryCode","website","phone","phoneUnformatted","claimThisBusiness","location__lat","location__lng","locatedIn","plusCode","menu","totalScore","permanentlyClosed","placeId","cid","reviewsCount","imagesCount","reserveTableUrl","googleFoodUrl","hotelStars","hotelDescription","depth","originalStartUrl","referrerUrl","domain","emails__001","emails__002","emails__003","emails__004","phonesUncertain__001","twitters__-","instagrams__-","phonesUncertain__002","facebooks__-","youtubes__001","youtubes__002","emails","phones","phonesUncertain","linkedIns","twitters","instagrams","facebooks","youtubes","tiktoks","pinterests","discords","reviews__name","reviews__text","reviews__textTranslated","reviews__publishAt","reviews__publishedAtDate","reviews__likesCount","reviews__reviewId","reviews__reviewUrl","reviews__reviewerId","reviews__reviewerUrl","reviews__reviewerPhotoUrl","reviews__reviewerNumberOfReviews","reviews__isLocalGuide","reviews__reviewOrigin","reviews__stars","reviews__rating","reviews__responseFromOwnerDate","reviews__responseFromOwnerText","reviews__reviewImageUrls__001","reviews__reviewImageUrls__002","reviews__reviewImageUrls__003","reviews__reviewImageUrls__004","reviews__reviewImageUrls__005","reviews__reviewImageUrls__006","reviews__reviewImageUrls__007","reviews__reviewContext__Visited on","reviews__reviewContext__Wait time","additional_data__similarHotelsNearby","additional_data__mapped_category__Historical Sites & Landmarks__-","additional_data__mapped_category__historical sites & landmarks__-","additional_data__peopleAlsoSearch__category","additional_data__peopleAlsoSearch__title","additional_data__peopleAlsoSearch__reviewsCount","additional_data__peopleAlsoSearch__totalScore","additional_data__additionalInfo__Accessibility__Wheelchair-accessible entrance","additional_data__additionalInfo__Amenities__Toilets","additional_data__additionalInfo__Service options__Onsite services","additional_data__additionalInfo__Highlights__3D movies","additional_data__placesTags__title","additional_data__placesTags__count","additional_data__additionalInfo__Accessibility__Wheelchair accessible parking lot","additional_data__additionalInfo__Offerings__Food","additional_data__additionalInfo__Children__Good for kids","additional_data__additionalInfo__Accessibility__Wheelchair accessible entrance","additional_data__additionalInfo__Offerings__Arcade games","additional_data__additionalInfo__Amenities__Restroom","additional_data__additionalInfo__Amenities__Restaurant","additional_data__additionalInfo__Crowd__Family-friendly","additional_data__additionalInfo__Payments__Credit cards","additional_data__additionalInfo__Payments__NFC mobile payments","additional_data__additionalInfo__Payments__Debit cards","additional_data__updatesFromCustomers","additional_data__imageUrls__001","additional_data__imageUrls__002","additional_data__imageUrls__003","additional_data__subTitle","additional_data__additionalInfo__Accessibility__Wheelchair-accessible car park","additional_data__mapped_category__Business Services__-","additional_data__mapped_category__Events & Festivals__-","additional_data__mapped_category__Shopping__-","additional_data__mapped_category__Indoor Recreation__-","additional_data__popularTimesLiveText","additional_data__openingHours__day","additional_data__openingHours__hours","additional_data__popularTimesHistogram__|","additional_data__popularTimesHistogram__|__hour","additional_data__popularTimesHistogram__|__occupancyPercent","additional_data__reviewsTags__title","additional_data__reviewsTags__count","additional_data__additionalInfo__Accessibility__Wheelchair-accessible toilet","additional_data__additionalInfo__Accessibility__Wheelchair-accessible seating","additional_data__additionalInfo__Service options__On-site services","additional_data__additionalInfo__Accessibility__Wheelchair accessible seating","additional_data__additionalInfo__Accessibility__Wheelchair accessible restroom","additional_data__updatesFromCustomers__postDate","additional_data__updatesFromCustomers__postedBy__name","additional_data__updatesFromCustomers__postedBy__url","additional_data__updatesFromCustomers__postedBy__title","additional_data__updatesFromCustomers__postedBy__totalReviews","additional_data__popularTimesLivePercent","additional_data__popularTimesHistogram__Su__hour","additional_data__popularTimesHistogram__Su__occupancyPercent","additional_data__popularTimesHistogram__Fr__hour","additional_data__popularTimesHistogram__Fr__occupancyPercent","additional_data__popularTimesHistogram__Sa__hour","additional_data__popularTimesHistogram__Sa__occupancyPercent","additional_data__popularTimesHistogram","additional_data__categories__001","additional_data__categories__002","additional_data__categories__003","additional_data__questionsAndAnswers__question","additional_data__questionsAndAnswers__answers__answer","additional_data__questionsAndAnswers__askDate","additional_data__reviewsDistribution","additional_data__mapped_category__Performing Arts & Theater__-","additional_data__reviewsDistribution__oneStar","additional_data__reviewsDistribution__twoStar","additional_data__reviewsDistribution__threeStar","additional_data__reviewsDistribution__fourStar","additional_data__reviewsDistribution__fiveStar","additional_data__mapped_category__Health & Medical__-","additional_data__mapped_category__Real Estate & Property__-","additional_data__mapped_category__Cinemas & Theaters__-","matched_categories","unmatched_categories","google_sub_categories"
"https://www.google.com/maps/search/?api=1&query=Amateur%20Theatre&query_place_id=ChIJDdU3uhNilR4Rzxm5J34ImFM","Cinemas & Theaters","12","https://www.google.com/maps/search/Cinemas%20&%20Theaters/@-25.687641354510653,28.72856782692881,14z?hl=en","null","0","Amateur Theatre","null","null","Movie theater","Pretoria Central, Pretoria, 0002, South Africa","Pretoria Central","null","Pretoria","","Pretoria","0002","null","ZA","null","null","null","1","-25.74955","28.18641","null","752P+5H Pretoria, South Africa","null","2","0","ChIJDdU3uhNilR4Rzxm5J34ImFM","6023573839533382095","2","1","null","null","null","null","null","null","null","null","","","","","","","","","","","","null","null","null","null","null","null","null","null","null","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","null","","","People also search for","Opera Theatre","19","4.5","","","","","","","","","","","","","","","","","True","null","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aPPc5Pe1asRI6cH4WpdLGw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=173.43015&pitch=0&thumbfov=100","","","null","","","","","","null","","","","","","","","","","","","","","","","","","null","","","","","","","null","Movie theater","","","","","","","","1","0","1","0","0","","","Movie theater","['movie theater']","null","['Cinemas & Theaters']"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","People also search for","Theaterhuisie","27","3.7","","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","People also search for","Capitol Theatre","4","4","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","People also search for","Actcaffe","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","People also search for","Infinity Theatre","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/search/?api=1&query=Theatre%20View.&query_place_id=ChIJYwFhDCJilR4RNR5qOhu9GMY","Cinemas & Theaters","17","https://www.google.com/maps/search/Cinemas%20&%20Theaters/@-25.76141523235664,28.153502967248308,16z?hl=en","null","0","Theatre View.","null","null","Apartments","150 Gerard Moerdyk St, Pretoria Central, Pretoria, 0001, South Africa","Pretoria Central","150 Gerard Moerdyk St","","","Pretoria","0001","null","ZA","null","+27 12 344 3730","27123443730","1","-25.7544919","28.1986082","null","65WX+6C Pretoria, South Africa","null","4.3","0","ChIJYwFhDCJilR4RNR5qOhu9GMY","14274366943592586805","23","4","null","null","null","null","null","null","null","null","","","","","","","","","","","","null","null","null","null","null","null","null","null","null","null","null","billy chirombo","null","null","10 months ago","2023-11-19T09:52:50.411Z","0","ChZDSUhNMG9nS0VJQ0FnSUNsM3VxU0JBEAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNsM3VxU0JBEAE!2m1!1s0x0:0xc618bd1b3a6a1e35!3m1!1s2@1:CIHM0ogKEICAgICl3uqSBA%7CCgwI8rXnqgYQ8PK4xAE%7C?hl=en","105004536124945540400","https://www.google.com/maps/contrib/105004536124945540400?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjU1JFttJbu4ss2Kb9vB1pLy2C1vv6-Un1lxslCTDHarWmrl1VU=s120-c-rp-mo-br100","2","False","Google","5","null","null","null","","","","","","","","","","null","","","People also search for","Theatre Gardens.","2","4.5","","","","","","","","","","","","","","","","","","null","https://lh3.googleusercontent.com/gps-proxy/ALd4DhGWiKrcsB7TEe_jLkFTJWS8Ni_T85CZFuKsOMizZ3ImV_sN-04lRveYzsa-PkSxPEqgIQuXYfIkzoVyy8pj2qI3WfWoobzvvy49_wGVi-PosvOAeyk9aPpjWJY6S9q96Yght3iy4v2xDL5_TmJRRr4Mt8uWhrY6SJ8HhK_I1bNk1zaacydjVV1n8vnA0fGRyNZdJl4=w1920-h1080-k-no","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k49FCoJxeef5eJDxmyBhBw&cb_client=maps_sv.tactile.gps&w=203&h=100&yaw=121.66926&pitch=0&thumbfov=100","https://lh5.googleusercontent.com/p/AF1QipM5Kk4XrJRz4TEIKqLLHdowrf_oe9YfCfP_eVLb=w1920-h1080-k-no","null","","","","","","null","","","","","","","","","","","","","","","","","","null","","","","","","","null","Apartments","","","","","","","","1","0","3","7","12","","Apartments","","['apartments']","null","['Real Estate & Property']"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ratshilumela Pfunzo","null","null","a year ago","2023-04-30T23:26:09.898Z","0","ChdDSUhNMG9nS0VJQ0FnSURSallMX3BRRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSallMX3BRRRAB!2m1!1s0x0:0xc618bd1b3a6a1e35!3m1!1s2@1:CIHM0ogKEICAgIDRjYL_pQE%7CCgwIkfK7ogYQ4Le-rAM%7C?hl=en","101711308737776160147","https://www.google.com/maps/contrib/101711308737776160147?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjWiLjo3DpqTDVBoXIJPgE8If-HEm_NB_RJfOcRO4y1Uvh3jVuM=s120-c-rp-mo-br100","0","False","Google","5","null","null","null","","","","","","","","","","","","","People also search for","Theaterhuisie","27","3.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","xolile Nyathi","Nice residential site and very quiet","null","a year ago","2023-03-20T19:08:54.336Z","0","ChdDSUhNMG9nS0VJQ0FnSURoejd6V2lBRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURoejd6V2lBRRAB!2m1!1s0x0:0xc618bd1b3a6a1e35!3m1!1s2@1:CIHM0ogKEICAgIDhz7zWiAE%7CCgwIxt7ioAYQ8J7DoAE%7C?hl=en","110880242836521854366","https://www.google.com/maps/contrib/110880242836521854366?hl=en","https://lh3.googleusercontent.com/a-/ALV-UjX3p_VREZPug3pxtJGuCyRgcXY-enTfiVGSdw14z-LXfAgSk8kw=s120-c-rp-mo-ba2-br100","17","True","Google","5","null","null","null","","","","","","","","","","","","","People also search for","Pilditch View","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sunshine Nzimande","null","null","a year ago","2023-02-06T18:33:00.327Z","0","ChdDSUhNMG9nS0VJQ0FnSUNoak5EOHpBRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNoak5EOHpBRRAB!2m1!1s0x0:0xc618bd1b3a6a1e35!3m1!1s2@1:CIHM0ogKEICAgIChjND8zAE%7CCgwI3I-FnwYQwKOpnAE%7C?hl=en","113639793638602099594","https://www.google.com/maps/contrib/113639793638602099594?hl=en","https://lh3.googleusercontent.com/a/ACg8ocIyBaag0DiJY37aCjcvnjXvrZY5gQf3-w0mrrlauI011JJrAw=s120-c-rp-mo-ba3-br100","17","True","Google","4","null","null","null","","","","","","","","","","","","","People also search for","Mitzin","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","People also search for","The Tramshed","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
